Species	ACR	LCR	PCR	Cochlea size	Body mass (g)	Echolocation call type
Halichoerus_grypus	4,53	3,44	4,39	7,1	233000	non-bat
Hapalemur_griseus	2,2	1,9	1,9	NA	1091	non-bat
Hemibelideus_lemuroides	1,6	1,3	1,6	NA	966	non-bat
Hemitragus_jemlahicus	3,32	2,89	2,98	NA	14700	non-bat
Herpestes_ichneumon	1,5	1,5	1,8	3,1	2981	non-bat
Heterocephalus_glaber	0,85	0,73	0,73	NA	60	non-bat
Hexaprotodon_liberiensis	3,8	2,8	3,3	NA	235000	non-bat
Hippopotamus_amphibius	4,3	4,0	4,2	NA	1140500	non-bat
Hipposideros_fulvus	0,59	0,51	0,53	1,94	8,5	Nasal;Yin
Hipposideros_gigas	1,14	1,06	1,02	3,72	89	Nasal;Yin
Hipposideros_ridleyi	0,72	0,6	0,73	2,38	9,3	Nasal;Yin
Homo_sapiens	3,29	2,4	2,89	6,6	58313	non-bat
Hoolock_hoolock	2,8	2,4	2,5	NA	6880	non-bat
Hydrochoerus_hydrochaeris	2,9	2,6	2,8	5,8	39540	non-bat
Hydropotes_inermis	2,49	1,68	1,82	NA	1285	non-bat
Hylobates_klossii	2,6	2,5	2,4	NA	5670	non-bat
Hylobates_lar	3,34	2,28	2,36	NA	5340	non-bat
Hylobates_moloch	2,7	2,5	2,5	NA	6580	non-bat
Hylobates_pileatus	2,7	2,5	2,6	NA	5440	non-bat
Hypsignathus_monstrosus	1,48	1,26	1,2	2,39	427	Non
Ichneumia_albicauda	2,205	1,89	2,205	NA	2625	non-bat
Ictidomys_tridecemlineatus	1,5	1,2	1,2	NA	126	non-bat
Idiurus_macrotis	1,0	0,8	0,9	NA	30	non-bat
Idiurus_zenkeri	1,1	0,7	0,7	NA	16	non-bat
Indri_indri	3,0	2,4	2,6	NA	6335	non-bat
Inia_geoffrensis	1,254	1,188	0,858	7,9	128250	HF-cet
Isoodon_obesulus	1,7	1,2	1,3	2,6	1058	non-bat
Kobus_ellipsiprymnus	3,15	2,52	3,33	NA	153333	non-bat
Lagenorhynchus_obliquidens	0,81	1,08	0,81	6,9	151667	HF-cet
Lagothrix_lagotricha	3,0	2,0	2,4	NA	7367	non-bat
Lasiurus_borealis	0,76	0,66	0,65	1,9	16,7	Oral;Yan
Lavia_frons	1,01	0,86	0,86	2,19	34,8	Nasal;Yin
Lemur_catta	2,45	1,94	1,94	NA	2210	non-bat
Leontopithecus_rosalia	1,4	1,4	1,7	NA	620	non-bat
Lepus_europaeus	2,3	1,7	1,8	3,5	3330	non-bat
Limnogale_mergulus	1,34	0,87	1,06	NA	80	non-bat
Lontra_canadensis	1,728	1,836	1,836	NA	9250	non-bat
Lophiomys_imhausi	1,4	1,1	1,3	NA	755	non-bat
Lophocebus_albigena	2,9	2,7	2,9	NA	8250	non-bat
Lophostoma_silvicolum	0,92	0,8	0,79	2,39	32,85	Nasal;Yan
Loris_tardigradus	1,57	1,08	1,31	NA	193	non-bat
Loxodonta_africana	5,2	3,6	5,5	NA	4540000	non-bat
Lutra_lutra	1,5	1,89	1,67	3,3	9600	non-bat
Lynx_rufus	2,3	2,1	2,4	NA	9750	non-bat
Macaca_cyclopis	2,5	2,3	2,5	NA	5470	non-bat
Macaca_fascicularis	2,4	2,2	2,3	NA	4475	non-bat
Macaca_fuscata	2,6	2,3	2,7	NA	9515	non-bat
Macaca_mulatta	2,7	2,4	2,5	NA	9286	non-bat
Macaca_nemestrina	2,7	2,1	2,7	NA	7771	non-bat
Macaca_nigra	2,7	2,4	2,3	4,8	7680	non-bat
Macaca_sylvanus	2,8	2,5	2,6	NA	13550	non-bat
Macaca_tonkeana	2,6	2,4	2,4	NA	11950	non-bat
Macroderma_gigas	0,61	0,57	0,51	1,18	123	Nasal;Yin
Macropus_fuliginosus	3,1	2,1	2,8	4,8	62633	non-bat
Madoqua_guentheri	2,2	2,066666667	2,333333333	NA	5270	non-bat
Mandrillus_sphinx	2,8	2,6	2,8	NA	31600	non-bat
Manis_tricuspis	1,64	1,25	1,45	NA	2000	non-bat
Marmota_monax	2,8	2,5	2,4	NA	4075	non-bat
Megaderma_spasma	0,79	0,69	0,68	1,74	27	Nasal;Yin
Megaladapis_edwardsi	2,5	2,0	2,3	NA	75400	non-bat
Megaladapis_madagascariensis	2,6	2,0	2,3	NA	38000	non-bat
Megaptera_novaeangliae	2,7	2,3	2,1	12,5	48350000	LF-cet
Meriones_unguiculatus	1,2	1,2	1,3	NA	100	non-bat
Mesoplodon_densirostris	1,648484848	1,957575758	1,493939394	8,8	1050000	HF-cet
Microcebus_murinus	1,2	1,2	1,2	NA	69	non-bat
Microcebus_rufus	1,2	1,1	1,0	2,0	43	non-bat
Microtus_pennsylvanicus	1,0	0,8	0,9	NA	43	non-bat
Miniopterus_schreibersii	0,85	0,71	0,77	1,91	14,2	Oral;Yan
Molossus_molossus	0,77	0,62	0,66	2,31	16,2	Oral;Yan
Monodon_monoceros	1,056	1,32	0,924	8,2	1200000	HF-cet
Mormoops_megalophylla	0,91	0,71	0,7	1,93	17	Oral;Yan
Muntiacus_reevesi	2,244	2,112	2,244	NA	14800	non-bat
Murina_cyclotis	NA	0,63	0,67	1,82	11,3	Oral;Yan
Murina_suilla	0,75	0,65	0,62	1,89	3,9	Oral;Yan
Murina_tubinaris	0,92	0,64	0,62	2,18	4,75	Oral;Yan
Mus_musculus	1	0,66	0,74	1,3	14	non-bat
Mustela_nivalis	1,1	1,0	1,2	2,2	87	non-bat
Myocastor_coypus	2,0	1,7	1,8	NA	7855	non-bat
Myotis_lucifugus	0,71	0,57	0,58	1,54	8,1	Oral;Yan
Myotis_macrodactylus	0,74	0,56	0,57	NA	6,5	Oral;Yan
Myotis_muricola	0,74	0,58	0,58	2,11	4,85	Oral;Yan
Naemorhedus_caudatus	1,8	1,64	1,83	NA	27000	non-bat
Nanger_granti	2,55	2,175	2,775	NA	46750	non-bat
Nannospalax_ehrenbergi	1,5	1,3	1,2	NA	170	non-bat
Nasalis_larvatus	3,0	2,7	2,7	NA	20400	non-bat
Natalus_stramineus	0,75	0,64	0,53	1,74	3,9	Oral;Yan
Neophocaena_phocaenoides	0,918	1,08	0,702	6,7	29750	HF-cet
Neovison_vison	1,42	1,48	1,47	NA	1045	non-bat
Noctilio_leporinus	0,92	0,83	0,76	2,7	59	Oral;Yan
Notoryctes_typhlops	1,0	0,7	0,9	1,5	55	non-bat
Nyctalus_lasiopterus	1,01	0,99	0,85	NA	34,8	Oral;Yan
Nyctereutes_procyonoides	2,0	1,4	1,8	NA	4500	non-bat
Nycteris_thebaica	0,8	0,7	0,64	1,9	11	Nasal;Yan
Nycticebus_coucang	1,93	1,18	1,44	2,8	679	non-bat
Ochotona_macrotis	1,73	1,25	1,46	NA	143	non-bat
Odobenus_rosmarus	3,8	3,8	3,9	7,8	1013500	non-bat
Odocoileus_virginianus	2,346	2,07	2,484	NA	72800	non-bat
Ondatra_zibethicus	1,7	1,7	1,8	NA	995	non-bat
Orcinus_orca	1,332	1,476	0,792	8,9	4909750	HF-cet
Ornithorhynchus_anatinus	1,8	1,4	1,7	NA	1752	non-bat
Oryctolagus_cuniculus	2,65	2,23	1,92	2,8	1437	non-bat
Oryx_beisa	3,3	2,7	2,7	6,0	198625	non-bat
Otaria_byronia	2,744554455	2,994059406	2,661386139	NA	150000	non-bat
Otocyon_megalotis	2,205	1,89	2,205	NA	21500	non-bat
Otolemur_crassicaudatus	2,1	1,7	2,0	NA	1150	non-bat
Otolemur_garnettii	2,0	1,9	1,8	NA	764	non-bat
Otospermophilus_beecheyi	2,0	1,6	1,6	NA	618	non-bat
Ovis_aries	2,61	2,35	2,56	5,2	33750	non-bat
Palaeopropithecus_ingens	2,1	1,5	2,0	NA	45400	non-bat
Pan_paniscus	2,59	2,41	2,17	NA	39100	non-bat
Pan_troglodytes	2,55	2,39	2,45	NA	43820	non-bat
Panthera_leo	3,3	3,2	3,3	7,5	148750	non-bat
Panthera_tigris	3,2	2,8	2,9	6,3	150100	non-bat
Papio_hamadryas	2,9	2,7	2,7	NA	16730	non-bat
Pedetes_capensis	2,5	2,0	2,2	NA	3049	non-bat
Perodicticus_potto	2,1	1,29	1,7	NA	1230	non-bat
Peromyscus_maniculatus	1,0	0,8	0,8	NA	17	non-bat
Peropteryx_macrotis	0,73	0,68	0,65	1,96	4,4	Oral;Yan
Petaurista_petaurista	2,7	2,1	1,7	NA	1849	non-bat
Petauroides_volans	1,8	1,5	1,8	NA	1300	non-bat
Petaurus_breviceps	1,4	1,1	1,2	NA	140	non-bat
Petaurus_norfolcensis	1,3	1,1	1,3	NA	230	non-bat
Petrogale_penicillata	1,9	1,6	1,8	3,6	6650	non-bat
Phacochoerus_africanus	2,622	2,001	2,277	NA	58750	non-bat
Phalanger_orientalis	1,8	1,3	1,4	NA	2500	non-bat
Phascogale_tapoatafa	1,5	1,2	1,3	2,5	172	non-bat
Phascolarctos_cinereus	2,4	2,0	2,3	NA	6957	non-bat
Phoca_groenlandica	3,6	3,3	4,2	NA	127500	non-bat
Phoca_vitulina	3,9	3,1	3,2	7,7	81250	non-bat
Phocoena_phocoena	0,777	0,84	0,483	6,5	62250	HF-cet
Physeter_catodon	1,727272727	2,475757576	1,496969697	9,9	27500000	HF-cet
Piliocolobus_badius	2,4	2,1	2,3	NA	8583	non-bat
Pipistrellus_pipistrellus	0,67	0,56	0,54	1,6	6,55	Oral;Yan
Pithecia_pithecia	2,5	2,0	2,1	NA	1940	non-bat
Platanista_gangetica	1,853465347	1,710891089	1,235643564	8,1	88779	HF-cet
Plecotus_auritus	0,91	0,7	0,71	1,8	9	Oral;Yan
Plecturocebus_moloch	2,0	1,7	2,0	NA	1020	non-bat
Pongo_pygmaeus	3,11	2,43	2,57	NA	35700	non-bat
Pontoporia_blainvillei	0,999	1,026	0,675	6,0	50000	HF-cet
Potamochoerus_porcus	2,736	2,016	2,448	NA	54000	non-bat
Potamogale_velox	2	1,43	1,41	NA	660	non-bat
Procavia_capensis	1,87	1,64	2,35	NA	3140	non-bat
Procyon_cancrivorus	2,1	2,0	2,4	4,5	6994	non-bat
Procyon_lotor	2,142	1,953	2,205	NA	9000	non-bat
Prolemur_simus	2,7	2,1	2,3	NA	1725	non-bat
Propithecus_diadema	3,1	2,4	2,7	NA	6100	non-bat
Propithecus_verreauxi	2,4	2,2	2,4	NA	3643	non-bat
Proteles_cristatus	2,6	1,8	1,9	5,5	8550	non-bat
Pseudocheirus_peregrinus	1,8	1,5	1,7	NA	781	non-bat
Pteronotus_davyi	0,69	0,61	0,6	1,85	10,9	Oral;Yan
Pteronotus_macleayii	0,79	0,64	0,63	1,92	5,35	Oral;Yan
Pteronotus_parnellii	0,99	0,91	0,79	3,05	14,7	Oral;Yan
Pteropus_giganteus	1,53	1,31	1,33	3,1	1175	Non
Pteropus_rodricensis	1,4	1,03	1,17	NA	338	Non
Pteropus_vampyrus	1,79	1,54	1,58	2,92	1180	Non
Ptilocercus_lowii	1,3	1,0	1,1	NA	39	non-bat
Puma_concolor	2,6	2,2	2,6	4,9	56425	non-bat
Pygathrix_nemaeus	2,9	2,5	2,8	NA	11000	non-bat
Rattus_norvegicus	1,27	0,91	1,03	2,3	279	non-bat
Ratufa_bicolor	2,6	2,1	2,0	NA	1375	non-bat
Ratufa_macroura	2,2	1,9	2,0	NA	1295	non-bat
Redunca_redunca	3,587878788	2,618181818	3,393939394	NA	40000	non-bat
Rhinolophus_affinis	0,84	0,88	0,88	2,99	12,6	Nasal;Yin
Rhinolophus_cornutus	0,65	0,63	0,57	NA	6,1	Nasal;Yin
Rhinolophus_ferrumequinum	0,79	0,81	0,76	2,95	22,6	Nasal;Yin
Rhinolophus_marshalli	0,82	0,94	0,76	3,41	6,4	Nasal;Yin
Rhinolophus_megaphyllus	1,13	1,28	1,07	4,44	9,8	Nasal;Yin
Rhinolophus_pearsonii	0,84	0,94	0,79	3,05	8,8	Nasal;Yin
Rhinolophus_philippinensis	0,96	1,02	0,89	3,67	7	Nasal;Yin
Rhinopoma_hardwickii	0,96	0,87	0,83	2,24	16,3	Nasal;Yin
Rhinopoma_microphyllum	1	0,88	0,86	2,19	32	Nasal;Yin
Rhynchocyon_cirnei	2,13	1,79	1,89	NA	490	non-bat
Rhynchonycteris_naso	0,61	0,53	0,53	1,74	3,9	Oral;Yan
Rousettus_aegyptiacus	1,31	1,07	1,12	2,28	140	Non
Saccolaimus_saccolaimus	1,21	1,07	1,08	3,01	95	Oral;Yan
Saccopteryx_bilineata	0,71	0,63	0,59	2,14	7,5	Oral;Yan
Saguinus_oedipus	1,4	1,5	1,5	NA	418	non-bat
Saimiri_sciureus	2,1	1,8	1,8	NA	759	non-bat
Sapajus_apella	2,4	1,9	2,2	NA	3085	non-bat
Scalopus_aquaticus	1,0	0,9	0,9	NA	81	non-bat
Sciurus_aberti	2,6	1,9	2,1	NA	602	non-bat
Sciurus_carolinensis	2,09	1,69	1,94	NA	519	non-bat
Sciurus_granatensis	2,1	1,6	1,8	NA	250	non-bat
Sciurus_niger	2,6	1,9	2,3	NA	754	non-bat
Sciurus_richmondi	2,0	1,5	1,6	NA	200	non-bat
Sciurus_vulgaris	2,0	1,5	1,5	2,8	322	non-bat
Scotomanes_ornatus	0,94	0,77	0,78	2,12	21,8	Oral;Yan
Scotophilus_kuhlii	0,9	0,85	0,69	2,17	23	Oral;Yan
Scotophilus_robustus	1,06	0,76	0,79	NA	83	Oral;Yan
Semnopithecus_entellus	2,6	2,4	2,5	NA	14533	non-bat
Sminthopsis_macroura	0,9	0,7	0,7	1,6	18	non-bat
Solenodon_paradoxus	1,75	1,39	1,61	NA	900	non-bat
Sorex_cinereus	0,6	0,4	0,6	NA	4	non-bat
Sorex_hoyi	0,6	0,4	0,6	NA	3	non-bat
Spilocuscus_maculatus	2,3	1,9	1,8	NA	3815	non-bat
Spilogale_putorius	1,665	1,215	1,62	NA	857	non-bat
Stenonycteris_lanosus	1,51	1,13	1,21	2,52	140	Non
Sus_scrofa	2,58	1,76	2,08	2,2	101900	non-bat
Symphalangus_syndactylus	2,55	2,21	2,06	NA	11300	non-bat
Syncerus_caffer	3,99	3,192	4,218	NA	592667	non-bat
Tadarida_brasiliensis	0,75	0,69	NA	1,76	12,5	Oral;Yan
Talpa_europaea	1,4	1,0	1,1	1,5	98	non-bat
Taphozous_melanopogon	1	0,9	0,85	2,28	24	Oral;Yan
Tapirus_indicus	3,59	2,93	3,41	NA	296250	non-bat
Tapirus_terrestris	3,79	2,93	3,29	NA	207500	non-bat
Tarsius_bancanus	1,49	1,39	1,36	NA	123	non-bat
Tarsius_syrichta	1,5	1,5	1,4	NA	126	non-bat
Taxidea_taxus	2,1	2,3	2,1	NA	7190	non-bat
Tenrec_ecaudatus	1,28	1,07	1,03	NA	832	non-bat
Theropithecus_gelada	2,8	2,2	2,6	NA	16567	non-bat
Thyroptera_tricolor	0,69	0,65	0,54	2,19	3,5	Oral;Yan
Trachops_cirrhosus	1,05	0,91	0,87	2,49	43,8	Nasal;Yan
Trachypithecus_obscurus	2,8	2,3	2,6	NA	7900	non-bat
Trachypithecus_vetulus	2,7	2,4	2,5	NA	7035	non-bat
Tragelaphus_eurycerus	3,366	3,267	3,267	NA	253000	non-bat
Tragelaphus_oryx	3,534653465	3,332673267	3,332673267	NA	325750	non-bat
Tragelaphus_scriptus	3,219	2,349	3,132	NA	40000	non-bat
Tragelaphus_strepsiceros	3,534653465	3,118811881	3,846534653	NA	194500	non-bat
Tragulus_javanicus	1,77	1,37	1,87	NA	2000	non-bat
Trichechus_inunguis	2,545454545	3,139393939	2,715151515	NA	425000	non-bat
Trichosurus_vulpecula	2,1	1,6	1,7	3,6	3410	non-bat
Tupaia_glis	1,78	1,4	1,56	NA	165	non-bat
Tupaia_minor	1,4	1,3	1,3	NA	70	non-bat
Tupaia_tana	1,8	1,4	1,5	NA	205,3	non-bat
Tursiops_truncatus	1,2	1,4	0,8	7,3	189875	HF-cet
Urocitellus_parryii	1,8	1,7	1,7	NA	745	non-bat
Urocitellus_richardsonii	1,6	1,3	1,4	NA	289	non-bat
Urogale_everetti	1,8	1,6	1,5	NA	275	non-bat
Ursus_americanus	3,381818182	2,818181818	3,1	NA	136000	non-bat
Varecia_variegata	2,5	2,0	2,2	NA	3508	non-bat
Vicugna_vicugna	3,15	2,42	2,7	NA	45000	non-bat
Vielasia_sigei	0,92	0,74	0,77	2,02	18,94	unknown
Vulpes_vulpes	2,26	2,56	2,33	NA	4380	non-bat
Xerus_erythropus	2,2	1,7	1,8	NA	576	non-bat
Xerus_rutilus	2,1	1,6	1,6	NA	420	non-bat
Zaedyus_pichiy	1,5	1,4	1,4	NA	1740	non-bat
Zalophus_californianus	2,418	2,964	2,418	NA	100000	non-bat
Ziphius_cavirostris	1,485	1,8	1,215	9,3	3342250	HF-cet
